"","reviews"
"88","신구샘 너무나 멋지네요!!!  "
"89","좋네요.... 참 할아버지들 너무 좋당  "
"90","마음이 따뜻해지네요. 감동입니다!  "
"91","생로병사라는 인생의 진리 속에 황혼의 모습들을 관조해보는 영화 굿~  "
"92","핑크색 잠옷 진짜 귀여워요 ㅋㅋ  "
"93","스토리 안지루하고 유쾌하고 재미도있고 감동도있고 다있는영화 근데 스크린몇개 못잡았던뎀 아쉽  "
"94","가족모두 함께하기 좋은 영화  "
"95","왜 전국 동시 개봉 안하나요? 오늘 부모님 예매해드리려고했는데...북수원은 아직 상영안하네요~  "
"96","영화 참 잘 만들었네요. 올해 이 영화를 시작으로 좋은영화 많이 나왔으면 좋겠어요ㅎㅎ  "
"97","너무 감동적입니다.. 부모님들과 함께보시길  "
"98","전개가 빠르고 스토리 좋고 배우들 좋고~  "
"99","불혹의 나이에도 마음은 청소년같이 맑다는걸 보여주네 ^^  "
"100","평점 조작 어이없네 ㅏㅋㅋ  "
"101","스토리 개연성도 없고 감동도 재미도 없다 다큐도 아니고 뭣도 아닌. 대학생 연극 보는 느낌. 이런 배우들을 모셔다가 왜 이런걸....  "
"102","임현식의 힘. 하지만 늙어서 서글프네  "
"103","관람객영화 감동 눈물난다ㅠ 정말 좋은 영화다  "
"104","휴지 한롤씀 눈물이 마르지를 않는 영화  "
"105","부모님 생각이 절실하게 났던 ..ㅠㅠ  "
"106","최근에 본 많은 영화들중에 가장 기억에 남는영화  "
"107","관람객잔잔한 감동이 있는 영화였어요~^^  "
"108","기대를 많이 안하고 보았는데그래도 기대 이하였어요..  "
"109","개봉관좀 늘려서 입소문 많이많이 났으면 ㅠㅠ  "
"110","꼭보세요 님덜 웃고,,울고,,  "
"111","관람객재미와 공감대가 공존하는 영화였습니다. 좀 짠하네요.  "
"112","관람객부모님이랑 잘 봤습니다. 뭐볼까 고민하다 봤는데 후회없네요  "
"113","관람객흥행예감입니다 진짜 너무너무 웃기넹  "
"114","관람객가족들끼리 볼만한 영화입니다 강추!!  "
"115","관람객스토리도 탄탄하고 무엇보다 지루함이없어용  "
"116","스토리도 기대이상이고 배우들 연기가 끝내줍니다  "
"117","관람객유쾌하지만서도 괜히 찡한게 밀려옴  "
"118","관람객스토리가 탄탄해서 좋았네요^^  "
"119","관람객간만에 어머니모시고 영화잘봤다는 생각들었어요~  "
"120","관람객너무너무 재밌네요 흥행예감  "
"121","요즘 2030세대에 꼭 필요한 영화가 아닐까 싶네요  "
"122","관람객부모님 모시고 보러가세요 이런 추운겨울에 가족들끼리 따듯한 마음을 느낄수 있는 영화입니다^^  "
"123","관람객연기력하나는 최고 연출도 최고  "
"124","관람객웃다가 울다가 정말 유쾌하면서 감동적!  "
"125","관람객부모님이랑 같이 봤는데 재밌네여  "
"126","관람객마음이 힐링되는 영화입니다  "
"127","노년청춘.감동 .코믹 .명품연기.어르신들귀여움주의.아역귀염귀염  "
"128","넘 멋졌어요덕기 아저씨와 사진도 찍고요부모님 생각하며 눈물도 흘렸네요  "
"129","관람객늦었다고 생각할 때가 가장 빠른법  "
"130","너무 잼잇게 보고왓어요^^  "
"131","나의 노년을 생각해보게 한다그거에 극공감합니다.  "
"132","할부지의 힘이란...  "
"133","나도  저분들 나이쯤 돼면 저렇게 살아야지  "
"134","신구샘... 처럼 늙고싶다  "
"135","좋은 영화 보여주셔서 감사합니다선생님들  "
"136","가슴이 따뜻해지는 영화 오랜만입니다  "
"137","신구샘... 사랑합니다  "
"138","참 아름다운 영화입니다.약간의 아쉬운점도 보였지만 끝나고 여운이 남네요 할아버지들이 유쾌하기도하고 안스럽기도하고.내 아버지도 할아버지도 한없이 나약한 한 인간일 뿐임을.그리고 역시 오랜 세월이 묻어나는 분들이라 더욱 한마디 한마디가 아련하게 남네요  "
"139","그나이대의 감수성을 생각해보게하는. 잔잔한.  "
"140","누나랑 엄마랑같이 보러왔어요 재미있어요  "
"141","요즘 자극적이고 피곤하게 만드는 한국 영화판에 힐링되는 영화다. 강추한다. 제발 이런 명품 배우들이 나오는 영화가 흥해서 좀 많이 만들어줬으면 한다.  "
"142","관람객잔잔하니 좋았습니다~  "
"143","현세대들이 마주하기 싫어서 외면하는 곧 닥칠미래와 베이비붐 세대의 끝, 아이는 자라서 겁먹은 부모가 되고, 용감했던 당신들은 자라서 꽃이 되신다  "
"144","엄마랑 같이 봤는데 너무 좋아하시네요^^가족의 소중함을 알게 해주는 훈훈한 영화입니다  "
"145","배우4분 연기경력 합치면 203년 ㅋㅋ  "
"146","가족끼리 다같이 보도록 해야게따  "
"147","부모님이랑 봤는데 진짜 같이보길 잘했다는 생각이..  "
"148","이거 우리 동네에서 찍었는뎈ㅋㅋㅋ 인기 진짜 많았어 신구선생님  "
"149","마음이 저절로 따듯해 지는 영화입니다 강추 꼭보세요  "
"150","배우분들 연기잘하고  소소한 웃음이 나와서 감동적이고,,잼났어요 ^^  "
"151","어르신들을 위한 영화~ 좋네요!!  "
"152","스토리도 탄탄하고 연기력들이야 내로라하는 분들이시니 두말할 필요없구요. 삶을 대하는 자세 등과 관련하여 모든 세대가 함께 볼 만한 가치가 충분합니다. ^_^  "
"153","백세시대,노인만을 위한 영화가 아닌, 모두가 진지하게 현실을 생각해볼 영화!  앞만보고 달려 지친 나자신에게,가족,친구들에게 인생의 쉼표와 물음표를 던져보고 인생의 뒤를 돌아볼수있는 잔잔한 감동 영화라 추천! 진한여운과 감동 비밥바룰라를 보길잘한듯  "
"154","잔잔한 감동과 웃음까지 있어 재미있었습니다부모님과 함께보면 좋을것 같아요!  "
"155","부모님과 같이 봐서 저도울고 부모님도 울고 웃다가 또울고ㅠㅠ  "
"156","친정아버지가 생각나는 영화에요 마음이 아파요  "
"157","나는 무엇을 남기고 떠날 것인가 생각하게 만드는 영화  "
"158","드라마나 연극같은 느낌..? 보면서 결말 예상한 그대로...ㅠ  "
"159","코끝이 계속 찡해지는 영화  "
"160","관람객촬영감독 누구임 카메라가 영화 다 망친듯 집중안돼서 힘들었음요ㅡㅡ  "
"161","이런 장르의 영화가 많이많이 나왔으면 좋겠어요!~  "
"162","도중도중 웃음 포인트와 감동포인트를 잘 살림  "
"163","은지가 주는 캔커피가 레쓰비 &gt; 맥스웰 &gt; 레쓰비로 바뀜  "
"164","세상이 처신을 강요하는 것일뿐 나이먹어도 마음속에는 소년이 있다.  "
"165","영화는 TV 드라마 같지만 많은것을 느끼게해주는 내용  "
"166","인생은 누구나 시한부 그래서 인생은 슬픈것이다...  "
"167","차가  SM5에서 LF소나타에서  다시 SM5로...너무  티나게 바껴요..옥의티정도가 아니라 너무 티남..  "
"168","관람객좋앗습니다 돈이 아깝지 않앗어요  "
"169","보고싶은영환데 상영관이 너무적네요ㅠㅠ저희지역엔 안올라와있어요....  "
"170","인생에서 친구라는 의미를 잘 부여했네요  "
"171","아직 어리지만 그래도 공감대가 넓어서 좋았음요!  "
"172","나의 노년도 저렇게만 살았으면  "
"173","이시대에 정말 꼭 필요한 영화입니다  "
"174","눈오는날 가족들끼리 볼만한 영화입니다 강추!!  "
"175","관람객연기력은 진짜 짱임 ㅋㅋ 완전 배꼽 빠질뻔 ㅋㅋ 배우들 케미 장난아님 ㅋㅋ  "
"176","관람객부모님생각나는 영화. 모시고 봤음 좋았을텐데..  "
"177","늙어서도 저렇게 든든한 친구들이 있으면 얼마나 좋을까? ..갈수록 외로워지는게 문제 ㅠㅠ  "
"178","재미도 있고 감동도 있습니다 추천!  "
"179","관람객와... 아무생각없이 봤다가 폭풍 눈물... 꽃 할배들의 재미와 감동과 인생의 희노애락이 담겨있는 영화 강추합니다!!  "
"180","내 마음에 10점 영화. 삶에 대해서.  "
"181","...폭풍눈물 흘리고 나왔습니다 ㅠㅠ 강추여  "
"182","중간중간 재미도 있고 감동도 있고 추천 할 만 합니다 ~!  "
"183","추천합니다 !! 스크린이 많이 없긴한데 꼭 찾아서 보세요 !!  "
"184","부모님 모시고 영화 보러가세요 !!!!  "
"185","폭풍감동 폭풍눈물 흐규흐규  "
"186","친구들끼리 보고 나왔는데 정말 재밌어하네용 ㅋㅋ  "
"187","부모님 모시고 보러갑시다! 런닝타임도 부담스럽지않고 소소한재미에 감동까지 잘 버무러져있습니다 ㅎㅎ  "
"188","많은것을 느끼고 나왔음!  "
"189","관람객재미있고 웃기고의미있고, 눈물나고 부모님께 효도해야겠네요!  "
"190","관람객너무 유쾌하고 마음을 울리는 영화였어요!  "
"191","관람객좋은 영화 재밌게 잘봤습니다  "
"192","어르신들 넘나 귀여워욬ㅋㅋㅋㅋ 신구선생님 완전 짱!!!!  "
"193","우리 할아버지 생각났음 조만간 같이 또볼거임  "
"194","관람객흠 버킷리스트... 외롭지않은 노년이되기를..  "
"195","재밌드라 오랜만에 엄마랑 실컷 웃다 와씀 ㅋㅋ  "
"196","멋져요 ~~~~!!!  "
"197","관람객노년을더행복하게보내기위한꾸준한건강관리로윤택한삶이되면좋겠다는..콧등이시큰..눈물이핑..찡한여운이아직도남아있네요.  "
"198","관람객굿굿 신구할배 됴아여 ㅎ ㅎ ㅎ  "
"199","관람객가볍게 즐기기에 나쁘지않구요 배우님들 수고하셨습니다  "
"200","신구샘 멋이라는 것이 폭발한다!  "
"201","그랬다.. 그들도 한때 청춘이었고 그들도 누군가의 자식이었고 그들의 삶이 있었다. 피할 수 없으면 즐겨라가슴 시린 아픔이 나쁘지 않다  "
"202","유쾌하고 재미 감동 세마리 토끼를 잡았네요  "
"203","어머니 아버지 모시고 다시 보려합니다.추천합니다!  "
"204","돌아가신 외할아버지 생각이 납니다..  "
"205","무엇이 중요한가에 대해 깨닫게 해주는 영화  "
"206","울고 웃다 여러모로 좋은 가족 영화같네요.감사해요  "
"207","짠한 기분이 드는건...  "
"208","나이를 먹는 것에 대하여  "
"209","홍보가 아쉬워요.. 영화는 소소하게 공감가는 부분도 많았고 머리아프지 않고 즐길 만 했습니다. 추운 날씨에 어울리는 영화였습니다.  "
"210","진짜 나도 늙으면 저렇게 즐기며 살아야겠어요  "
"211","좋은 영화입니다. 이번년도에 마음을 울리는 영화인듯합니다.  "
"212","써니 할아버지버젼 같은느낌이랄까..친규생각이 많이 나네요  "
"213","재미있으면서도 슬프고 슬프면서도 웃음이 나는 그런 영화.상영관 좀 늘려줬으면 좋겠다.!!  "
"214","믿고보는 신구선생님 짱짱맨!!!!  "
"215","영화 좋네요 돈안아까워요  "
"216","추천할만 합니다. 감동과 여운이 오래남네요  "
"217","배우분들의 연기력은 말할 것 없이 좋았습니다~~ 전체적으로 확 몰입이 되는 중심사건이라던지 인물은 없지만 소소함을 표현하는것으로 만족했습니다~~~ 무엇보다 좋은건 부모님과 함께 볼수 있는 영화라는 점이겠지요  "
"218","전 아직 젊지만 인생을 돌아볼수 있덧던 계기인 것 같습니다. ㅜㅜ영화 너무 잘봤어요  "
"219","단점을 찾아볼수없는 영화입니다 오랜만에 여운 진하게 느꼈네요  "
"220","런닝타임도 그리 길지않아서 어르신과도 부담없이 볼수있어여  "
"221","어머니 아버지 할머니 할아버지한테 잘합시다!!!  "
"222","유쾌하고 잔잔한 감동이 있는 영화입니다 고민하는사람 그냥 보세여  "
"223","소재도, 연기자도 좋은데 편집이 말아먹은거같아요,, 앞뒤연결 하나도 안되어 쉽습니다  "
"224","한국종특 뻔한내용.. 그냥 볼만한  "
"225","중간중간 억지스러운 전개가 좀 아쉽고 평점이 너무 높음.연로한 대배우들의 노력하는 연기는 높이삼. 임현식 연기는 자연스러웠음.냉장한 평가로 마무리도 아쉬웠음.  "
"226","한국판 라스트베가스라 칭해도 될듯~!따뜻한 영화  "
"227","재미있었다. 그런데 코미디를 기대하고 보면 안될듯싶다  "
"228","감동적이고 부모님에대해 생각하게 되는영화. 따뜻한영화 감사합니다 ^^배우님들에게도 감사합니다 너무 좋은영화~~~  멋지세요 배우님들 모두  "
"229","꼬옥 봐야할 영화.내내 웃고내내 공감하고내내 울다가 왔습니다.100점 만점에 200점입니다  "
"230","볼 땐 지루한 듯 했지만 여운이 남는 영화  "
"231","스토리가좀엉성해요 잔잔하긴하지만요  "
"232","잔잔한 영화에요 부모님이랑 보시길..  "
"233","진짜 웃다가 왔어요 대박이네 ㅋㅋ  "
"234","그냥 닥치고 무저건 봐라. 아놔~ 이런 영화가 상영관 마니 걸려야지. 진짜 우리나라는 스크린독점 사라져야대. 기대안하고 봤능데.. 따뜻하다 진짜.  "
"235","나이가 젊은 사람들이 본다면 그저 그런 영화일듯... 나이가 좀 있으시다면 공감가는 부분이 많을듯합니다.  "
"236","따뜻하고 감동적이었다.눈물ㅠ  "
"237","따스한 여운이 남았다 나도 저렇게 아름다운 노년기를 보내고싶다  "
"238","평점   장난치지말자  진짜  "
"239","아버지께 더욱 잘해드려야겠다는 생각을 하게 되네요.  "
"240","10점 만점 주고싶은 영화!  "
"241","버킷리스트의 앤딩은 이렇게~ 행복하게!  "
"242","나의 노년을 미리 엿보는 담담하고 잔잔한 영화  "
"243","우리인생에있어서 한번쯤은겪고 지나가는 시기를 슬프지만 유쾌하게담아낸 작품.지켜보는입장과 받아들여야될때를 위해서나를 더 좋은 사람으로 발전시킬수있게끔생각하게 만드는영화. 좋은작품 감사합니다.  "
"244","감동적이었어요솔직히 뻔한 내용 예측할 수 있는 결말이었지만 그래서 더 좋은 영화였다고 생각되요  "
"245","훈훈해요.부모님과꼭보시길  "
"246","기자 평론가들은 대체 무슨생각으로 영화를보냐..? 참 인생 힘들게 산다  "
"247","이런영화가 많이 나왔으면 좋겠습니다  "
"248","배우에게 연륜이 왜 필요한지 알게 된 영화.  "
"249","부모님의 이야기만 아니다. 우리의 이야기다.  "
"250","따뜻하다 재밌다 ㅎㅎㄱㄱ  "
"251","기자들은 뭐든지 까야 있어 보이는 줄 아나와요. 그것만이 내 세상도 그러더니... 이 영화까지...  "
"252","이런 영화 너무좋아요 ㅜㅜ 울었습니다..다..누구나 나이가 들면 저렇게 더와닿겠죠 ..먹먹하네요  "
"253","대박 꼭 봐야하는 영화~ 추천  "
"254","아...뭉클하다  나이든 부모님도 젊은시절이 있었는데...먼가 짠해집니다양희은님의 노래 또한  끝날때까지 자리를뜰수없었네요  "
"255","인생. 나 자신. 친구. 가족. 아들. 딸. 생각하게 만드는 좋은 영화.  "
"256","많은 생각이 들게 했던 영화  "
"257","우리도 언젠간 할아버지가 되겠지요.부모님 고맙습니다. 그리고 사랑합니다. ♡♡♡  "
"258","28년 살면서 평점 처음 남기는 영화있을법한 일들로 구성된 우리모두 겪어야될헤어짐을 즐겁게 표현 했는데 그게 더 슬펏는지눈에서 눈물이 줄줄흘럿네요좋은작품 감사합니다  "
"259","처음 남겨 보는데 훈훈하고 기분 좋아지는 영화네요  "
"260","考終命=오복의 하나, 제 명대로 살다가 편히 죽음. 그렇게 되면 얼마나 멋진  卒이  되겠는가. 노인들이 異口同聲으로 하는 공통어는 자식들에게 폐를 끼치지 읺았으면 하는 것이 솔직한 희망사항이다. 그것이 마음대로 될 수가  있다면  얼마나 .  "
"261","관람객재미있게 볼 만 했습니다  "
"262","마음이 따뜻해지면서도 왠지 쓸쓸해지는 영화네요.  "
"263","자극적이지 않고 담백하고 흠잡을꺼하나없는 영화네요 나중에라도 찾아서 볼영화에요  "
"264","잔전한 감동을 주는 영화~  "
"265","나도 저 나이 되서 노년의 친구들과 저렇게 이쁘고 아름답게 살 수 있을까? 나란 사람은 늘 같은 자리에 있지만, 시간이 지나면서 내 얼굴의 주름살이 늘어나는것 같이 시간은 흐르는데, 함께할 소중한 벗이 있음에 감사한다. 삶은 결국 죽음과 같은것을.  "
"266","기대 안하고봤는데 생각보다 퀄리티도 좋고 배우분들의 연기가 좋았던것 같다. 마지막에 엔딩 크레딧 올라오면서 나오는 노래 들으면서 나중에 나도 내인생의 마지막이 즐겁기를 바랬다. 좋은영화 감사합니다  "
"267","성공한 인생 !! 비밥바룰라  "
"268","삶을 한번더 생각해보게 하네요  "
"269","아침부터 훈훈하네요~신구선생님 팬이에요!!  "
"270","와...진심 정말 감동  "
"271","훈훈하고 감동적이에요 :)  "
"272","멋지게 살아야겠다는 생각을 하게 되네요..ㅜㅜ  "
"273","마음따뜻하게 해준영화네요^^좋은영화 만들어주셔서 감사합니다  "
"274","관람객나이들면 남는건 주름과 친구.  친구관리 잘해서 노년이 덜 외롭게  "
"275","관람객나의 노년두 이렇게 의미있게 살고싶네여  "
"276","관람객배우만으로도 좋았던 영화  "
"277","함께 놀아줄 친구 , 함께 살아줄 친구  "
"278","나이는 숫자, 마음은 진짜라는 말이 떠오르네요 나이 계속 먹어가서 우울한데 이거보고 힘내야겠어요  "
"279","꼭 보세용 !! 시간가는줄모르고봤네요  "
"280","가슴이 먹먹해지는 영화였습니다..  "
"281","뭐야...상영관이 없어서 못봄 ㅠㅠ기대했는데  "
"282","오~예~ 재미있네요 굿굿  "
"283","지금 딱 필요한 따뜻한 영화  "
"284","감동적이에요ㅠㅠ 추천!  "
"285","짱 2가또나오길 이런영화좋아요 배우들도 짱별점을 더 해주고 싶네요전 세계에서 히트되서 상받길  "
"286","50년 뒤의 남성판 &#39;써니&#39;  "
"287","누구나 다 꿈꾸는 미래일듯 ㅠㅠ  "
"288","관람객나중에 나도 저래야지 하는 영화암만 안걸리길...  "
"289","뻔한 결말이지만, 노년이 왜 아름다운지, 죽음을 어떻게 맞이해야 하는 지를 잘 보여준 영화입니다. 부모님 모시고 가서 함께 보세요. 서로에게 좋은 영화입니다. 오랫만에 유쾌한 가족영화를 보아서 기분이 좋습니다. 무엇보다 4명의 시니어 어벤져스 연기짱!  "
"290","연출도 지루함 없고 스토리도 짜임새있고 배우들 연기력까지 더해져서 시간가는 줄 모르고 봤네요^^  "
"291","진짜 재밌어요 완전 초초초웃김 ㅋㅋ  "
"292","우리 할아버지 생각이 많이 났던 영화였음 ㅠㅠ  "
"293","관람객가족들끼리 보기좋은 영화에요!!!  "
"294","생각이 많아지는 영화! 추천  "
"295","나도 이렇게 늙고싶다.  "
"296","진짜 화장번지게 울었어용..ㅠㅠ  "
"297","나이는 숫자에 불과하다는말이 진짜임  "
"298","재밋네요 후배들이랑 보고 왓어용  "
"299","관람객아 또보고싶다 ㅋㅋ 엄청나게 코믹스러운 신구배우님 ㅠㅠ  "
"300","관람객나이가 들어도 친구는 똑같다  "
"301","관람객잔인하지 않아서 편하게 즐겼습니다 내용도 빵빵 하구용  "
"302","관람객여자친구가 진짜 좋아했음 ㅋㅋ  "
"303","관람객온가족이 화목해질수있는 시간을 만들어준 영화입니다  "
"304","관람객친구들이랑 보고 오랜만에 왕창 웃다가 왔어용 ㅋㅋ  "
"305","관람객눈 오늘 겨울에 따듯해 지는 영화입니다 ^^  "
"306","관람객전 연령 아우러서 볼만한 영화가 나왔네요 홍보좀 열심히하면 많이들볼거같은데..  "
"307","관람객부모님께 꼭 추천해드리고 싶은 영화~  "
"308","관람객웃다울다웃다울다 최곱니다!!!  "
"309","관람객배우들의 캐미가 돋보이는 영화입니다. 부모님 모시고가면 좋을듯 싶네요  "
"310","관람객요즘 젊은배우들위주로만많이나오는데 이런 영화두 좋군요 볼만했습니다  "
"311","관람객할아버지랑 보러갔는데 진짜 짱잼  "
"312","관람객신구선생님을 언제나 최고였져 이번영화고 최고입니닷!!  "
"313","관람객실버세대 화이팅입니다1!!  "
"314","관람객국민아버지 다 모았네요 배우님들 연기경력 합친게 203년이라는데 믿고 보겠슴다 ㅎㅎㅎ  "
"315","잔잔한 여운이남는 영화 .  "
"316","많이들 봤음 좋겟습니다 노년에대해서 깊게 생각을 해볼 수 있는 영화. 소소하게 재미도 있고 감동도 있네요  "
"317","친구의 의미에 대해 다시 생각해보게 됐습니다.  "
"318","감사한 영화..감사합니다  "
"319","청춘으로서 느끼는게 많은 영화였습니다.부모님 모시고 다시 봐야겠습니다.  "
"320","인생을 생각해보게 됀다  "
"321","감동 재미 다 있네요..추천합니다!  "
