"","reviews"
"117","맨날 뭘 부수고 싸우고 이간질하는 그런 만화들에 길들여진 우리 두 아이들 마음을 저리게 만든 이 영화.  "
"118","진짜  감동적이면서  진짜재밌어요~~♡♡내가 본 영화중 최고 영화  꼭  한번 봐 보세요 추천해 드려요~~^^  "
"119","너무너무재미있을거같아요~  "
"120","기대되는 영화네요. 꼭 보고 싶어요.  "
"121","너무 기대되요! 딸램이지만 먼스터 영화 좋아하는데 취향 저격이에요!!!! ㅎㅎㅎㅎ  "
"122","너무 기대되고 보고싶어요  "
"123","인본의 멋진 애니를 딸과 함께 느낄수 있어요^^  "
"124","사랑스런 캐릭터들.. 너무 기대됩니다..아이들에게 꼭 보여주고싶어요  "
"125","코타케랑 몬스터의 모험이 기대되요~~^^  "
"126","몬스터라면 아이들이 두말않고 좋아하죠~~^^정말 재밌을거 같아요~  "
"127","더빙판 밖에 못봐서 아쉽지만 생각보다 기대를 안하고 봐서 그런지 감동이었다  "
"128","너무 귀엽고 재밌어요!  "
"129","아이들이 이해하기 쉽고 감동받아 눈물을 흘리네요. 저렴한 가격에 잘 봤습니다.  "
"130","그냥 애니로 만들 것이지 어설픈 3D  "
"131","너무 감동이고 너무 재밌네요,,아이들하고 같이 봤는데 2편 없나 찾아볼정도로 추천영화 입니다...  "
"132","애니메이션이라는게 참 유치하다싶다가도 어느순간 집중해서 보게되는 나를 발견함 그러다 마지막엔 눈시울이 붉어진 나를 알게됨 선입견이 없는 순수한 아기의 모습이 너무 예쁘고 감동적  "
"133","티브방송보고  넘  감동적이라 평점남겨봅니다 눈물나네요ㅜㅜ   군조의 멈춤이 부정적인 의미가 이렇게 큰감동을 주다니 나키가울때  같이 울보가 되어버렸네요 엉엉  "
"134","애들ㄷ 좋아하고 나도 재밌고 굿굿ㅋㅋㅋ  "
"135","감동 ㅠㅠ 짱재밌고 너무감동적이에요ㅠㅠ  "
"136","일본이 가진 최대의 장점 여운 그리고 감동 이 두가지가 일본 애니메이션에서 볼수있는 최대의 장점이라 할수있다. 이렇게 일본이 표현할수있는 최대의 감동과 여운을 심어놓은 이 영화는 감동 뿐만아니라 많은 교훈까지도 가지고있다. 재미로는 꼭 봐야할 영화다.  "
"137","티비에서 하길래 우연히봣는데 내가진짜 영화리뷰도처음남길뿐더러 리뷰남길라고 로그인한건 처음이네요 보는내내 울고 감동이고 진짜 ㅠ 짱이네요..2도나왓으면하는바램..  "
"138","그 전에도 울먹울먹 거리고 있었는데 맨 마지막 &#39;멈춰&#39;보고 심장이 순간 덜컥... 그냥 눈물이 줄줄 나왔어요ㅠㅠ 친구를 위해 자신이 희생하는 모습이.너무 감동적이었어요..  "
"139","아이거 일본거였구나 이제암ㅋㅋㅋㅋ 내나이 21살 기숙사에서 애들이랑 같이 우연히보게됬는데ㅜㅜ어린이용 애니매이션이 왤케 슬프냐고!!!!ㅜㅜ 마지막에진짜 질질짜면서 봤어요ㅜㅜ 둘이 헤어지는거 왤케가슴아프냐고!!!!ㅜㅜㅜ  "
"140","ㅠㅠ무슨애니가사람을울려ㅠ  "
"141","인기영합하는 연예인이아닌  목소리의 배우인 성우들을기용했다는것으로도 최고다  제발 더빙용은 어설픈 연예인이아니라 성우를 기용해서 했으면한다  "
"142","평타 수준. 귀여운 몬스터의 모습은 인상적임  "
"143","진짜 너~무 재밌었요 감동적이구..특히 아기가 너무 귀엽네요!! 처음에는 유치 할줄 알았는데 정말 재미있어요!!어른들께서 보셔도 재밌다고 할만큼..정말 추천합니다 현재 영화관에 상영은 안하지만 컴퓨터로 치면 볼수 있어요!!정말 재밌음♥  "
"144","재미와감도유ㅠ  "
"145","진짜 감동적이에요ㅠㅠ  "
"146","감동적입니다  꼭 한번 보길.  "
"147","정말추천 재미10 감동 10  여운10  "
"148","재미, 감동, 교훈 세가지 다 잡은 거 같아요. 여운이 좀 남네요. ㅠㅠ  "
"149","재밌고 감동적이였다  "
"150","그냥 나오는 애기가 귀여워서 봤는데 의외의 감동에 뭉클했어요. 마지막 그 멈춤표시에는 정말 눈물 날거 같았습니다.  "
"151","제조카가 잠을 안자서 이것저것 고민하다 평점만 보고 틀어줬는데 조카는 자고 저만 봤습니다. 정말 내용면이나 생동감이나 머하나 뭐라할때없는 최고의 명작이네요  재밌습니다.  "
"152","너무 재밌고 감동적이네요~~  "
"153","정말 내가본 애니메이션 영화중 최고가아니었을까 하는생각이 들만큼 너무 감동적이고 아무 재밌게봤답니다.^^ 성우분들님 목소리도 아주실감나게 들려서 좋았고 프렌즈 2가 나왔음 좋겠네요 ㅠㅠ 또 보고싶어요  "
"154","재밌다.  "
"155","너무 좋다  "
"156","아 ㅠㅠ 울엇어여 ㅠㅠ 너무 감동 !! ㅠ 짱... 말할수 없는 이 느낌 ㅠ  "
"157","감동이 있네여,,, 코타케 귀엽당ㅎㅎ  "
"158","정말 재밌고 감동도있고 짱ㅠㅠ  "
"159","재미있다.............  "
"160","군조너무멋있다 마지막 멈춤표시 정말 ㅠㅠㅠㅠ  "
"161","별 기대 안하고 봤는데 감동 ㅠ ㅠ  "
"162","너무 귀여워요 ^^  "
"163","움직임이 정말 실사 같아서 놀랐음... 꼬맹이 진짜 귀염 ㅋㅋ 마지막은 놀랐음 감동적이어서 ㅜㅜ  "
"164","마지막에 여섯살난 아들이랑 부둥켜안고 울었네요기대안하고 봤는데 감동이었다능  "
"165","괴물들이 사는 나라.. 비슷한 모티브...근데 이상하게 감흥이 없다. 니뽄이라 그런가.. cg는 귀엽다.  "
"166","감동!  "
"167","감동과웃음  "
"168","알고 보면 귀여운 친구들  "
"169","군조가 히어로.........굳굳굳유치한면이 없진않지만, 스토리로 극 뽀옥처음엔 단지 몬스터들전체와 아이의 에피소드인줄알았는데여러 이야기가 담겨, 많은 생각을 하게 하네요.(설정이긴하나 개인적으로 나치성격이좀 너~무좀..무디다는생각이들음)  "
"170","재미와감동  "
"171","그냥..최고  "
"172","아..정말 감동적이네요 애니메이션정말 즐겨보는데 이건정말 잘만든것같아요  "
"173","감동적이네요  "
"174","아...왜 눈물이 나는지 모르게 나네요...애니봄서 흑흑...^^  "
"175","추천  "
"176","감동  "
"177","재밌어요^^오동동  "
"178","이거 어디서 보시는지 아시는분?? p2p 사이트 어디에올라와있어요?? 알려주세요  "
"179","재밌고 감동적 ㅋㅋ  "
"180","포풍감동♡ 코타케 너무넘흐 귀엽긔  "
"181","올만에 감동을보았네요^.^굿입니다   굿  "
"182","귀여운 캐릭터에 비해 내용은 좀 부족한 듯..  "
"183","정말 재미잇어염!!!  "
"184","이 영화보고 울었어요............  "
"185","감동 또 감동...작년에 봐 지금까지기억이 나요. 친구랑 봐서 더 감동적이었어요.  "
"186","너무 재밌네요 !! 너무 감동 받아서 울었어요 ㅠ  "
"187","너무재미있고 조금은슬펐어요  완전  이걸보고는많이울었어요다시보면또울것같아요  "
"188","재밌어요.. 그나저나 이거 완전 감동 찡~ 하게 하네요ㅜㅡ  "
"189","저원래 애니나 만화보면서우는데 친구랑봐서 몰래몰래울기도했어요  "
"190","친구사이의 우정이 너무 깊어서 많이 울었고요.  "
"191","케릭터도귀엽고눈물도정말나네요군조막지에좀무섭기도하고군조가좀불쌍하네요  "
"192","감동도있고너무 재미있어요  "
"193","완전 감동받았어요!~  "
"194","코타케학창시절이야기?머릴바짝묶었네요,몬스터와해피엔딩에선눈물이찔끔  "
"195","완전 영화 본것중에 처음으로 울었어요  "
"196","완전감동  "
"197","친구사이의 우정이 너무 깊어서 많이 울었어용  "
"198","완전 재밌어요! 재미감동 모두 느낄수있었어요~  "
"199","감동 감동 또 감동이에요 너무 너무나도 재미있고 또 감동이네요  "
"200","재미만있을 줄알았는데..감동적인 영화에요!!^^  "
"201","재밋는데 울엇츰ㅜㅜ 2번이나ㅜㅜ  "
"202","나 울었어요 감동감동  "
"203","너무재밌어묘강츠  "
"204","재밋음  "
"205","너무 슬프다.ㅠㅠ재밌ㅆ기도 하고캬캬캬  "
"206","와 재미잇었어요 완전 쩡  "
"207","재미있당&gt;.&lt;  "
"208","재미  "
"209","정말 감동적이기도 하고 재미있네요!!!!  "
"210","마지막에 울컥해서욥!  "
"211","너무너무재밌어요. 그리고 코타케 넘넘 귀여버!!~~  "
"212","너무너무 웃기고 재밌었다네요^^  "
"213","와~ 진짜 재밌네요  "
"214","정말 영화보면서 우랴..팝콘먹느랴...웃느랴..정말 최고입니다!  "
"215","저도 영화 봤는데 맨마지막에 슬퍼서 울뻔했지만 저도 꾹참았담니다...  "
"216","동생이랑봤는데울뻔ㅋㅋㅋ꾹참았네여ㅋㅋ재밌습니다~  "
"217","진짜 재밌게본영화  그런데 애니메이션이란 이유만으로 더빙판밖에 개봉하지않는 추세가한심함  "
"218","엄청잘봤어요!!! 전 초등학생입니다. 엄청재미있었고요, 강추!!!!^^  "
"219","나키와 코타케의 끈질긴 우정! 잘 보고 갑니돠~!  "
"220","이거  폭풍감동폭풍재미 있어욯ㅎㅎ완전 좋은영화~  "
"221","너무재미있어요 감동적이기도하고.............  "
"222","이 영화. 처음에는 너무 재미있고 끝에는 너무 감동스러웠어요. 너무 재밌어요!  "
"223","폭풍감동ㅜㅜ강추!우는성격아닌데눈물이 주륵주륵나오네요 이런영화 또 나왔으면좋겠어요!  "
"224","이거케릭이귀엽고그리고끝이완전눈물이날만큼슬프고재밋었어요^^  "
"225","이거보고 저 폭풍눈물흘렸어요..ㅠㅠ 넘 잼써요^^ 글구 넘슬퍼요...완전 강추!!!대박  "
"226","재밌었습니다^^  "
"227","저 원래 슬픈영화 봐도 우는 성격 아닌데 이거 보고 진짜 폭풍 눈물 흘림  "
"228","처음에는 재미있었는데 중간에 슬퍼서 펑펑울었어요,저 영화보면서 우는성격아닌데  "
"229","완전코타케 귀엽고 완전 나 않우는성격인데 울었음 ㅠㅠㅠㅠㅠㅠ  "
"230","제가 친구랑 영화보러 갔다왔었는데. 정말 재미있었고, 갈수록 감동적이었어요.  "
"231","ㅜㅜ 귀엽고 감동임  "
"232","교훈뜻깊어요눈물이ㅠㅠㅠ 코타케는귀욤니코는겉모습은나뻐마음은따뜻군조는의리남!  "
"233","진짜감동했어요....많이울었어요ㅠㅠ제사촌동생이 감정이매말랐는데도 울었어요!!  "
"234","감동해서 울었는게 재미있어요  "
"235","감동해서 울었어요...그래도 재미있긴 해요  "
"236","감동해어 울었어요...... ㅠㅠ  "
"237","정말 뜻 깊게 잘 보았습니다. 친구 간의 우정이 중요하다는 것을 깨달았습니다.  "
"238","너무재미있어요 ~!  "
